state,STATEFP,CDFP,GEOID,NAMELSAD,LSAD,CDSESSN,area,perimeter,convex_hull,polsby_popper,reock,schwartzberg
CA,06,28,0628,Congressional District 28,C2,115,0.05560846960656818,2.0377325795659655,0.7072263942819103,0.1682892709282242,0.4618962215241046,0.41023075326969854
CA,06,01,0601,Congressional District 1,C2,115,7.964976820540869,18.756646744899452,0.8666660050510151,0.28450112100579483,0.5062984962551558,0.533386464963065
GA,13,07,1307,Congressional District 7,C2,115,0.10177094550454058,2.2357923407197804,0.7448043322442734,0.25584135427707944,0.45202402241802875,0.50580762576011
GA,13,02,1302,Congressional District 2,C2,115,2.4178574659536025,9.903532892770667,0.8294825683217314,0.30978491269406677,0.4825422977281718,0.556583248664624
GA,13,06,1306,Congressional District 6,C2,115,0.0769294148933568,1.904419219182956,0.6695349715281265,0.2665490763762437,0.4276761100300367,0.5162839106308115
GA,13,14,1314,Congressional District 14,C2,115,0.925472936640972,6.140392407420704,0.7785202137081971,0.308447557326293,0.4940064409438597,0.5553805518077608
KY,21,02,2102,Congressional District 2,C2,115,1.9359975375989507,14.71469411810005,0.6365963519484622,0.1123601181905621,0.262539457369762,0.33520160827561984
KY,21,06,2106,Congressional District 6,C2,115,1.1541911254125807,9.390146997091602,0.7594464447125738,0.16449125452089952,0.386450722962903,0.40557521438186966
LA,22,01,2201,Congressional District 1,C2,115,2.314353220321891,13.781241423185342,0.6714188781376144,0.15313089635991353,0.40679282801823874,0.39131943008227116
LA,22,03,2203,Congressional District 3,C2,115,2.213157921697757,9.57265076298152,0.8014535244060305,0.30349940125863967,0.34641747727237665,0.5509077974204392
LA,22,05,2205,Congressional District 5,C2,115,3.6701400086096783,21.80746876222819,0.5725032489240206,0.09697995493481439,0.35119368734550005,0.3114160479725064
IN,18,03,1803,Congressional District 3,C2,115,1.175044184062017,5.204745946895775,0.8971154784895522,0.5450859525964371,0.5282141397461053,0.738299365160527
IN,18,05,1805,Congressional District 5,C2,115,0.532051379336508,4.42950607370822,0.7762789142798862,0.3407633149447952,0.4014043121858923,0.5837493596954049
IN,18,04,1804,Congressional District 4,C2,115,1.7521861003322101,7.0992162998939365,0.8173728117424481,0.4368871567274447,0.557686644235118,0.6609743994493621
IN,18,07,1807,Congressional District 7,C2,115,0.08321527751240865,1.4365435821394608,0.9348222157122643,0.5067284840391368,0.5605292541204573,0.7118486384331552
GA,13,01,1301,Congressional District 1,C2,115,2.191617193922866,11.205752149807923,0.743411420255371,0.21932722208742603,0.36353910694713354,0.4683238431763069
IL,17,11,1711,Congressional District 11,C2,115,0.08020272810563256,2.94542767803994,0.5446821299645905,0.1161722171729047,0.35924554370441253,0.3408404570659192
IL,17,09,1709,Congressional District 9,C2,115,0.029852731818209577,1.7230873935467343,0.5956697612344855,0.1263511890852256,0.2119188457664191,0.3554591243521899
IL,17,15,1715,Congressional District 15,C2,115,3.99005849806872,15.449580406164873,0.7049174382803193,0.21006599186322372,0.3925091137997734,0.4583295668656166
TN,47,08,4708,Congressional District 8,C2,115,1.8086686794310936,9.775180293513555,0.8030596848234997,0.23785885802821488,0.3998549918903521,0.4877077588353654
CA,06,40,0640,Congressional District 40,C2,115,0.014744821449539813,0.9266450966572323,0.6539248187903172,0.2157856289686312,0.41804172055450134,0.46452731778511286
CA,06,12,0612,Congressional District 12,C2,115,0.03196767062308936,1.0774656684327222,0.7109036471461363,0.34603017614998194,0.3372727353013095,0.5882432967318726
CA,06,45,0645,Congressional District 45,C2,115,0.08376044668398208,1.801521053174889,0.8566529482476832,0.3243173368580452,0.4949007851904465,0.5694886626246787
IA,19,03,1903,Congressional District 3,C2,115,2.46037506200355,8.388545960753481,0.8338761588322227,0.43937749015306266,0.40412043980549134,0.6628555575335118
GA,13,11,1311,Congressional District 11,C2,115,0.2781152188845226,3.5833801252906294,0.7509882268273361,0.2721753923042376,0.4808984487572729,0.5217043150140103
GA,13,12,1312,Congressional District 12,C2,115,2.068527493772308,11.995468283720548,0.6824002806756614,0.18064949345029768,0.4364003725972987,0.4250288148470615
GA,13,08,1308,Congressional District 8,C2,115,2.1835789448216474,13.237046630551864,0.6661789512421814,0.15660173324601814,0.37226869703574084,0.3957293686928204
CA,06,04,0604,Congressional District 4,C2,115,3.498008258758091,12.291539819485267,0.8233291905818816,0.2909498312783798,0.30881644686937454,0.53939765598154
CA,06,22,0622,Congressional District 22,C2,115,0.30449835334229647,4.713618733932453,0.5607512278588614,0.1722209220084258,0.32693817163151245,0.4149950867280549
CA,06,09,0609,Congressional District 9,C2,115,0.3467885675413527,3.561565219761086,0.8413615265975147,0.34355227804211563,0.4612197234479513,0.5861333278718381
TN,47,09,4709,Congressional District 9,C2,115,0.12927243533613364,2.9428672967008978,0.6879262300725678,0.18757477615952575,0.373475595163116,0.43309903735696037
TN,47,06,4706,Congressional District 6,C2,115,1.7129931994202252,11.310332317961958,0.7089659556618263,0.16827312957991958,0.33382413261631133,0.41021107929932804
ID,16,01,1601,Congressional District 1,C2,115,11.882313780957247,27.61982172277867,0.7362387227172535,0.1957352923129607,0.28535896984983494,0.44241981455735085
ID,16,02,1602,Congressional District 2,C2,115,12.574325190767922,22.592060161934533,0.8115716163091364,0.30958711702408565,0.509311108877916,0.5564055328841416
CA,06,41,0641,Congressional District 41,C2,115,0.08036546197627104,2.3595455482831107,0.7376538298458766,0.18139385850823003,0.35958813570203607,0.42590357888638364
CA,06,27,0627,Congressional District 27,C2,115,0.17819852347724918,3.156359855352719,0.757678871818491,0.2247713443239168,0.5230925431923006,0.4741005635136039
CA,06,17,0617,Congressional District 17,C2,115,0.051125311839314236,1.6333967833584322,0.7755830023182464,0.24080330431140579,0.5084446101644101,0.49071713268583345
CA,06,14,0614,Congressional District 14,C2,115,0.15297469159486354,3.9302945507325417,0.5067351996904371,0.12444551573861644,0.1519287224744439,0.3527683598887752
OR,41,04,4104,Congressional District 4,C2,115,5.2254833356937525,12.876193004284595,0.8586621417357083,0.39606035782699184,0.4865103378706269,0.6293332645164975
OR,41,02,4102,Congressional District 2,C2,115,20.352518451811193,24.04966355473712,0.870263500759525,0.4421911138651127,0.4368021819641241,0.6649745212149957
KY,21,01,2101,Congressional District 1,C2,115,3.295398202642673,18.893414910438324,0.6177454202064682,0.11601037761979124,0.17317227593199228,0.34060296184823646
KY,21,03,2103,Congressional District 3,C2,115,0.08933823011602726,1.779660758277906,0.7808040554777312,0.3544645107477281,0.37576513878967205,0.5953692222039431
KY,21,05,2105,Congressional District 5,C2,115,2.9915102011100316,12.85450012599696,0.7811376711702253,0.2275044869473163,0.3778011982892069,0.4769743042841158
KY,21,04,2104,Congressional District 4,C2,115,1.201627518681562,11.026923799963726,0.543136229115523,0.12418552645615695,0.16504450090709563,0.3523996686379784
IL,17,12,1712,Congressional District 12,C2,115,1.3778227499358309,8.3936120499534,0.650233891198503,0.24575673613564322,0.3568917141988212,0.4957385764045837
IL,17,08,1708,Congressional District 8,C2,115,0.059017686714469164,2.4767816593628256,0.6043976097806183,0.12089729964724451,0.38118324708474516,0.3477028899034987
CA,06,02,0602,Congressional District 2,C2,115,3.9796660424094625,16.592344063955426,0.6092515129185573,0.18165234295452165,0.24318032653562247,0.426206925042897
CA,06,38,0638,Congressional District 38,C2,115,0.02598606952415139,1.3280515385909335,0.7182544330804553,0.18514867202580637,0.5239726398996352,0.4302890563630527
AL,01,01,0101,Congressional District 1,C2,115,1.699178755881121,11.56695764558054,0.7121667239185918,0.1595918256897563,0.4345199900323509,0.39948945629360016
AL,01,03,0103,Congressional District 3,C2,115,1.9340641467413207,10.366493370077514,0.7332695458526011,0.22616062185712027,0.4159868852417309,0.47556347826249257
AL,01,05,0105,Congressional District 5,C2,115,0.9830778388668477,6.859052031809105,0.7776525307994537,0.26258479545711416,0.1817940644612244,0.512430283509
AL,01,04,0104,Congressional District 4,C2,115,2.305827708282777,12.488934297942356,0.623402367157556,0.18577443789821974,0.32608937227121565,0.4310155889271521
AL,01,07,0107,Congressional District 7,C2,115,2.5542585042328483,15.599831112496299,0.6209963131174214,0.1318970003651663,0.4163270286803708,0.363176266247075
AL,01,02,0102,Congressional District 2,C2,115,2.528326339609066,12.163471248561281,0.7423553299521584,0.2147474063584209,0.47161540340887026,0.4634084659977857
AL,01,06,0106,Congressional District 6,C2,115,1.062498846866447,9.967897766614273,0.6908328796571224,0.1343789307835333,0.4475103055335159,0.3665773189704095
FL,12,13,1213,Congressional District 13,C2,115,0.10174520160967404,1.414759388210142,0.9041874038475056,0.6387907689436103,0.5939051354476766,0.799243873259977
